region,price,manufacturer,model,cylinders,fuel,odometer,transmission,drive,type,seats,engine_cc,max_power,age
bangalore,405000,mahindra,kuv100 nxt,3.0,petrol,58890,manual,fwd,crossover,,,,9
bangalore,435000,hyundai,i20,4.0,diesel,118364,manual,fwd,hatchback,,,,13
bangalore,869000,maruti suzuki,ciaz,4.0,petrol,39992,manual,fwd,sedan,,,,4
bangalore,970000,hyundai,verna,4.0,petrol,48505,manual,fwd,sedan,,,,5
bangalore,282000,maruti suzuki,a-star,3.0,petrol,67637,automatic,fwd,hatchback,,,,13
bangalore,1033133,maruti suzuki,xl6,4.0,petrol,29632,manual,fwd,muv,,,,4
bangalore,1216953,hyundai,creta,4.0,diesel,79839,automatic,fwd,suv,,,,7
bangalore,1345178,hyundai,verna,4.0,petrol,42298,manual,fwd,sedan,,,,3
bangalore,254000,ford,figo,,petrol,83554,manual,fwd,hatchback,,,,14
bangalore,887000,ford,ecosport,3.0,petrol,20031,manual,fwd,suv,,,,6
bangalore,265000,ford,figo,4.0,petrol,50028,manual,fwd,hatchback,,,,14
bangalore,248000,hyundai,i20,4.0,petrol,46988,manual,,hatchback,,,,16
bangalore,1802000,kia,seltos,4.0,diesel,44301,automatic,fwd,suv,,,,3
bangalore,290000,hyundai,i10,4.0,petrol,58327,manual,fwd,hatchback,,,,14
bangalore,280000,maruti suzuki,alto 800,3.0,petrol,37645,manual,fwd,hatchback,,,,11
bangalore,594000,honda,jazz,4.0,petrol,46932,automatic,fwd,hatchback,,,,8
bangalore,552000,honda,jazz,4.0,petrol,37764,automatic,fwd,hatchback,,,,10
bangalore,304000,maruti suzuki,ritz,4.0,petrol,100054,manual,fwd,hatchback,,,,14
bangalore,348000,maruti suzuki,celerio,3.0,petrol,96753,automatic,fwd,hatchback,,,,11
bangalore,370000,maruti suzuki,swift dzire,4.0,petrol,106022,manual,fwd,sedan,,,,13
bangalore,511000,hyundai,xcent,4.0,petrol,51441,manual,fwd,sedan,,,,9
bangalore,283000,maruti suzuki,alto 800,3.0,petrol,35936,manual,fwd,hatchback,,,,10
bangalore,233000,datsun,go,3.0,petrol,78026,manual,fwd,hatchback,,,,12
bangalore,257000,renault,kwid,3.0,petrol,88401,manual,fwd,hatchback,,,,10
bangalore,288000,maruti suzuki,alto 800,3.0,petrol,38959,manual,fwd,hatchback,,,,11
bangalore,1666000,kia,seltos,4.0,diesel,42531,manual,fwd,suv,,,,3
bangalore,217000,maruti suzuki,alto 800,3.0,petrol,88542,manual,fwd,hatchback,,,,13
bangalore,1088683,volkswagen,taigun,3.0,petrol,19847,automatic,fwd,suv,,,,4
bangalore,479000,maruti suzuki,ignis,4.0,petrol,90215,manual,fwd,hatchback,,,,9
bangalore,1440000,kia,seltos,4.0,diesel,75057,automatic,fwd,suv,,,,4
bangalore,2064343,mahindra,xuv700,4.0,diesel,74498,automatic,awd,suv,,,,4
bangalore,452000,ford,freestyle,3.0,petrol,60658,manual,fwd,crossover,,,,7
bangalore,468000,maruti suzuki,celerio,3.0,petrol,22304,automatic,fwd,hatchback,,,,9
bangalore,400000,hyundai,grand i10,4.0,petrol,108422,manual,fwd,hatchback,,,,8
bangalore,527000,hyundai,santro,4.0,petrol,102575,automatic,fwd,hatchback,,,,4
bangalore,326000,honda,brio,4.0,petrol,68614,manual,fwd,hatchback,,,,12
bangalore,1060000,kia,sonet,4.0,diesel,93976,automatic,fwd,suv,,,,5
bangalore,1335078,hyundai,verna,4.0,petrol,56233,automatic,fwd,sedan,,,,3
bangalore,258000,hyundai,i10,4.0,petrol,74162,manual,fwd,hatchback,,,,15
