type,transmission,fuel,price,engine_cc,max_power,cylinders,seats,model,manufacturer,odometer,region,drive,age
hatchback,manual,cng,350000.0,998.0,58.16,3.0,5.0,wagon r,maruti,42813,pune,fwd,12
hatchback,manual,cng,530000.0,998.0,58.33,3.0,5.0,wagon r,maruti,32554,new delhi,fwd,5
hatchback,manual,cng,150000.0,998.0,58.2,3.0,5.0,wagon r,maruti,117468,gurgaon,fwd,14
hatchback,manual,cng,500000.0,998.0,67.04,3.0,5.0,wagon r,maruti,70000,ahmedabad,fwd,7
hatchback,manual,cng,436000.00000000006,998.0,58.2,3.0,5.0,celerio,maruti,94694,mumbai,fwd,10
hatchback,manual,cng,509999.99999999994,998.0,58.33,3.0,5.0,celerio,maruti,30272,mumbai,fwd,8
hatchback,manual,cng,419000.00000000006,998.0,58.2,3.0,5.0,celerio,maruti,75062,mumbai,fwd,10
hatchback,manual,cng,120000.0,998.0,58.2,3.0,5.0,wagon r,maruti,76550,new delhi,fwd,15
hatchback,manual,cng,250000.0,796.0,47.3,3.0,5.0,alto 800,maruti,48422,new delhi,fwd,11
hatchback,manual,cng,271000.0,998.0,58.2,3.0,5.0,wagon r,maruti,54741,pune,fwd,14
hatchback,manual,cng,158000.0,998.0,67.1,3.0,5.0,zen estilo,maruti,138733,pune,fwd,16
minivans,manual,cng,193000.0,1196.0,73.0,4.0,5.0,eeco,maruti,57739,gurgaon,rwd,14
hatchback,manual,cng,450000.0,998.0,58.16,3.0,5.0,wagon r,maruti,29069,pune,fwd,7
muv,manual,cng,695000.0,1373.0,80.9,4.0,7.0,ertiga,maruti,76035,thane,fwd,11
hatchback,manual,cng,146000.0,624.0,37.48,2.0,4.0,nano,tata,56985,pune,rwd,12
muv,manual,cng,819999.9999999999,1462.0,91.19,4.0,7.0,ertiga,maruti,46907,pune,fwd,5
hatchback,manual,cng,300000.0,998.0,58.2,3.0,5.0,wagon r,maruti,45094,pune,fwd,14
sedan,manual,cng,750000.0,1197.0,68.05,4.0,5.0,aura,hyundai,40247,new delhi,,5
hatchback,manual,cng,150000.0,796.0,47.3,3.0,5.0,alto 800,maruti,142469,jaipur,fwd,13
hatchback,manual,cng,271000.0,998.0,58.2,3.0,5.0,wagon r,maruti,95221,pune,fwd,14
muv,manual,cng,590000.0,1373.0,80.46,4.0,7.0,ertiga,maruti,67900,new delhi,fwd,10
hatchback,manual,cng,320000.0,998.0,58.16,3.0,5.0,wagon r,maruti,85411,pune,fwd,11
hatchback,manual,cng,520000.0,1086.0,58.0,4.0,5.0,santro,hyundai,8484,pune,fwd,7
hatchback,manual,cng,299000.0,998.0,58.2,3.0,5.0,wagon r,maruti,71144,thane,fwd,13
hatchback,manual,cng,193000.0,998.0,58.2,3.0,5.0,wagon r,maruti,88191,bangalore,fwd,14
hatchback,manual,cng,650000.0,998.0,55.92,3.0,5.0,wagon r,maruti,1332,pune,,4
